DALIA_ID,Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
7b9e677d-6b7d-47cb-9dd6-007d00281942,"Edmond, Jennifer",CC-BY-4.0,http://training.parthenos-project.eu/sample-page/introduction-to-collaboration-in-research-infrastructures/,Introduction to Collaborations in Research Infrastructures,PARTHENOS (S) * DARIAH (R),"Is humanities research collaborative? Some would say that with our traditions of independent research and single authorship, it is not. This is not really true for any humanist, however, as collaboration does occur within classrooms, on-line communities, and within disciplinary networks. For the digital humanities, this is even more the case, as the hybridity of our methods require us to work together. Very few digital humanists can master entirely on their own the domain, information and software challenges their approach presents, and so we tend to work together.

By the end of this module you should be able to: 1) Understand what is meant by collaboration in humanities research, 2) Be aware of how this model impacts upon the development of digital humanities, and digital humanities research infrastructures.",https://w3id.org/kim/hochschulfaechersystematik/n01,,Research infrastructure,en,Lecture,,,2017-02-17,,,,1.0.0
be6e1626-e2df-4ab8-93d6-5f366308780f,"Bruseker, George * Schuster, Kristen",CC-BY-4.0,http://training.parthenos-project.eu/sample-page/formal-ontologies-a-complete-novices-guide/,Formal Ontologies: A Complete Novice's Guide,PARTHENOS (S) * DARIAH (R),"If you have worked with or managed data, the chances are you have probably at least heard of ‘ontologies’ or some other methods of formal knowledge representation. The concept of ontologies in a philosophical sense could be something that you are more or less comfortable with but they could be something that you find a bit daunting, especially if you don’t know where to begin.

This module is specifically aimed at those who are not yet familiar with ontologies as a means of research data management, and will take you through some of the main features of ontologies, and the reasons for using them.

By the end of this module, participants should be able to: understand what we mean by ‘Data Hetereogeneity’, and how it affects knowledge representation; understand and explain the basic concept of an ontology; and understand and explain how ontologies are used to curate and share research data.",https://w3id.org/kim/hochschulfaechersystematik/n01,,Ontologies * Data management,en,Lecture,,,2018-12-07,,,,1.0.0
191722c0-ec72-4c84-9b7f-b43872db2f1a,"Edmond, Jennifer * Laepke, Stefanie * Seirig, Rebecca * Uiterwaal, Frank * Wuttke, Ulrike",CC-BY-4.0,http://training.parthenos-project.eu/sample-page/intro-to-ri/,Introduction to Research Infrastructures,PARTHENOS (S) * DARIAH (R),"By the end of this training module, you will be able to: understand the elements of common definitions of research infrastructures; be able to discuss the importance of issues such as sustainability and interoperability; understand how research infrastructure supports methods and communities; and be aware of some common critiques of digital research infrastructures in the Humanities.",https://w3id.org/kim/hochschulfaechersystematik/n01,,Research infrastructures,en,Lecture,,,2018-04-11,,,,1.0.0
80fd6ac8-0eaa-40ba-92cd-9a684537b702,"Benardou, Agiatis * Clivaz, Claire * Edmond, Jennifer * Fischer, Frank * Lhoták, Martin * Paavolainen, Maija * Romary, Laurent * Ros, Salvador * Rusinek, Sinai * Tasovac, Toma",CC-BY-4.0,https://hdl.handle.net/21.11159/0195cc28-a395-71c9-8994-2b3e34e21e69,What is the Role of Training and Education in Research Infrastructures?,DESIR (R) * DARIAH (R),DARIAH Director Toma Tasovac spoke to fellow DARIAHns and colleagues from prospective DARIAH countries about their own educational backgrounds and the role of training and education in digital research infrastructures. The interviews show that there is no single educational trajectory which produces DH scholars. The diversity of our backgrounds is one of the main strengths of our field.,https://w3id.org/kim/hochschulfaechersystematik/n01,,DH,en,,video,,2019-04-18,,,,1.0.0
46b17cd2-c3c1-4b6e-bb8c-a82e6dfe6fed,"Schreibman, Susan * Papadopoulos, Costas",CC-BY-4.0,https://teach.dariah.eu/course/view.php?id=26,Introduction to Digital Humanities,DARIAH (S),"This course brings together established and emerging scholars from different parts of the world, fields and disciplines, theoretical and methodological traditions, who demonstrate the diversity of Digital Humanities by critically approaching schools of thought, methods, tools, standards, projects, and teaching practices in a series of videos. At present, we have two strands: one that addresses the question What is Digital Humanities under the title: ‘My Digital Humanities’; and a second entitled ‘Digital Humanities in Practice’ which goes into more depth theoretically or methodologically, or focuses on disciplinary practice, standards or approaches.

All videos include metadata about the speakers, the contributors, and the production, as well as a list of references for those who would like to delve into the various topics. Each video is also tagged using terms from the NeDiMAH Methods Ontology (NeMO), a CIDOC-CRM compliant ontological model which explicitly maps out the interplay of factors of agency (actors and goals), process (activities and methods) and resources (information resources, tools, concepts) in Digital Humanities scholarly processes.",https://w3id.org/kim/hochschulfaechersystematik/n01,,DH,en,Lecture,,,2016-12-13,,,,1.0.0
34a44071-0a10-4ac9-b384-c3772518acdc,"Edmond, Jennifer",CC-BY-4.0,https://training.parthenos-project.eu/sample-page/manage-improve-and-open-up-your-research-and-data/,"Manage, Improve and Open Up Your Research Data",PARTHENOS (S) * DARIAH (R),"This module looks at emerging trends and best practice in data management, quality assessment and IPR issues. It looks at policies regarding data management and their implementation, particularly in the framework of a Research Infrastructure.
Learning Outcomes

By the end of this module, you should be able to:

    understand and describe the FAIR Principles and what they are used for;
    understand and describe what a Data Management Plan is, and how they are used;
    understand and explain what Open Data, Open Access and Open Science means for researchers;
    describe best practices around data management; and
    understand and explain how Research Infrastructures interact with and inform policy on issues around data management.",https://w3id.org/kim/hochschulfaechersystematik/n01,,Research infrastructures * Data management * Open science,en,Lecture,,,2018-01-26,,,,1.0.0
a9383f26-6180-41f3-8c42-703a7376c22f,"Edmond, Jennifer",CC-BY-4.0,http://training.parthenos-project.eu/sample-page/management-challenges/,Management Challenges in Research Infrastructures,PARTHENOS (S) * DARIAH (R),"This module looks at some of the key management issues that arise within research infrastructures with a clarity and urgency they don’t often have below the infrastructural scale. It also looks at key trends and developments in these areas, and how exemplar projects are applying them. In particular, this module covers: User Engagement, Communications and Audiences, Sustainability, and the Macro-level issues, including managing the political environment.",https://w3id.org/kim/hochschulfaechersystematik/n01,,Research infrastructures,en,Lecture,,,2018-04-11,,,,1.0.0
eefdbfbe-48d8-4653-983f-60e2328cb1db,"Gordon, Tamar",CC-BY-4.0,https://teach.dariah.eu/mod/page/view.php?id=341,Mixed Reality and Social Engagement,DARIAH (S),"This video features Tamar Gordon, Professor of Anthropology at Rensselaer Polytechnic Institute, USA. In this video she discusses Mixed Reality and Social Engagement. Tamar talks about Augmented Reality as a tool that can make history come alive, while helping us to interpret cultural-historical environments and reflect upon our own experience and subject position within our own society.",https://w3id.org/kim/hochschulfaechersystematik/n01,,Augmented reality,en,,video,,2016-12-08,,,,1.0.0
38363a1b-d4ee-4537-a762-898844e85a5a,"Clivaz, Claire * Sankar, Martial",CC-BY-4.0,https://teach.dariah.eu/course/view.php?id=24&section=0,Multimodal Literacies,DARIAH (S),"This course invites you to discover the world of digital multimodal literacies through examples, experiments, readings and tools. Unit I consists of an introduction to multimodal literacies. Unit II allows you to discover, read and experiment with different examples of multimodal literacies. Finally, Unit III will allow you to build your own multimodal editing tool, an eTalk, on a virtual machine. Enjoy your travels in multimodal literacies!",https://w3id.org/kim/hochschulfaechersystematik/n01,,Multimodality * Editing tools,en,Lecture,,,2016-11-27,,,,1.0.0
16a8fdab-b783-4e4e-84e7-0d7834ac9bba,"Mandell, Laura",CC-BY-4.0,https://teach.dariah.eu/mod/page/view.php?id=307,My Digital Humanities: A Feminist Reading,DARIAH (S),"This video features Laura Mandell, Professor of English and Director of the Initiative for Digital Humanities, Media, and Culture a Texas A&M University. Laura defines feminism from a Digital Humanities perspective arguing for a need to adjust practices so that they are not replicating the sexist infrastructure of the traditional academy and business world.",https://w3id.org/kim/hochschulfaechersystematik/n01,,Feminism * DH,en,,video,,2016-11-09,,,,1.0.0
