DALIA_ID,Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType ,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
54cd1271-0a3f-4ba7-a986-11a3c16f83c7,"Stegemann, Jessica : {https://orcid.org/0000-0002-4149-1825} * Yildiz, Ceren : {https://orcid.org/0009-0007-6160-8836} * Blümm, Mirjam : {https://orcid.org/0000-0003-3665-7031} * Bock, Sina : {https://orcid.org/0000-0001-6754-8810} * Hackenbuchner, Janiça : {https://orcid.org/0000-0003-3880-7806} * Fritsch, Katharina : {https://orcid.org/0000-0002-0184-7823} * Kaiser, Kerstin : {https://orcid.org/0000-0002-4250-5109} * Rathmann, Torsten : {https://orcid.org/0000-0001-5880-1546}",CC-BY-4.0,https://doi.org/10.57961/V8G6-3205,Lernbaustein zum FDM: Schluss mit dem Datenchaos - Wie Forschungsdatenmanagement für Ordnung sorgt,fdm.nrw (R) * orca.nrw (R),"This course was created as part of the FDM@Studium.nrw project. It provides learners with the basic knowledge and practical skills required for data and file naming, with a particular focus on the term 'metadata'. Learners will learn how to name and organise data and files in a structured way. These initial steps in data description lead to an understanding of the meaning and application of metadata. Participants will learn what metadata is, why it is important, and the different types of metadata.",https://w3id.org/kim/hochschulfaechersystematik/n0,MBZ,university * studies * Data management * Organization of data * metadata * Research process * Moodle learning management system * research data management * Learning module * digital publication * practical application,de,course,text * video * image,novice,2024-08-31,student (BA),isPartOf:https://landesinitiativefdmnrw.github.io/FDMatStudium/ * isSupplementTo:https://landesinitiativefdmnrw.github.io/FDMatStudium/thk/index.html * isSupplementTo:https://doi.org/10.57961/vx67-cf59 * isSupplementTo:https://doi.org/10.57961/2617-cs23 * isSupplementTo:https://doi.org/10.57961/mg20-xh16 * isSupplementTo:https://doi.org/10.57961/Z4WX-BH90 * isSupplementTo:https://doi.org/10.57961/72ef-kp32,118,1.0
b6bd715f-ebc2-478f-bc4c-4fe94c79e84c,"Stegemann, Jessica : {https://orcid.org/0000-0002-4149-1825} * Yildiz, Ceren : {https://orcid.org/0009-0007-6160-8836} * Blümm, Mirjam : {https://orcid.org/0000-0003-3665-7031} * Bock, Sina : {https://orcid.org/0000-0001-6754-8810} * Hackenbuchner, Janiça : {https://orcid.org/0000-0003-3880-7806} * Fritsch, Katharina : {https://orcid.org/0000-0002-0184-7823} * Kaiser, Kerstin : {https://orcid.org/0000-0002-4250-5109} * Rathmann, Torsten : {https://orcid.org/0000-0001-5880-1546}",CC-BY-4.0,https://doi.org/10.57961/Z4WX-BH90,Lernbaustein zum FDM: Von der Idee zur Wissenschaft - Die Entstehung von Forschungsdaten,fdm.nrw (R) * orca.nrw (R),"This course was created as part of the FDM@Studium.nrw project. It provides an introduction to the basics and significance of research data in the scientific process. Based on a presentation of different types of data, the term ‘research data’ is explained and categorised. Using the concept of the knowledge pyramid, participants will learn how knowledge is created from research data, why the management of this data is an important aspect in relation to the preservation, traceability and reuse of research and what the acronym FAIR stands for.",https://w3id.org/kim/hochschulfaechersystematik/n1,MBZ,university * studies * Data management * Organization of data * Research process * research data management * Moodle learning management system * Learning module * digital publication * practical application,de,course,text * video * image,novice,2024-08-31,student (BA),isPartOf:https://landesinitiativefdmnrw.github.io/FDMatStudium/ * isSupplementTo:https://landesinitiativefdmnrw.github.io/FDMatStudium/thk/index.html * isSupplementTo:https://doi.org/10.57961/vx67-cf59 * isSupplementTo:https://doi.org/10.57961/2617-cs23 * isSupplementTo:https://doi.org/10.57961/V8G6-3205 * isSupplementTo:https://doi.org/10.57961/mg20-xh16 * isSupplementTo:https://doi.org/10.57961/72ef-kp32,82.9,1.0
65595ddd-cb43-4a2c-89a8-7f7932732f8a,"Stegemann, Jessica : {https://orcid.org/0000-0002-4149-1825} * Yildiz, Ceren : {https://orcid.org/0009-0007-6160-8836} * Blümm, Mirjam : {https://orcid.org/0000-0003-3665-7031} * Bock, Sina : {https://orcid.org/0000-0001-6754-8810} * Hackenbuchner, Janiça : {https://orcid.org/0000-0003-3880-7806} * Fritsch, Katharina : {https://orcid.org/0000-0002-0184-7823} * Kaiser, Kerstin : {https://orcid.org/0000-0002-4250-5109} * Rathmann, Torsten : {https://orcid.org/0000-0001-5880-1546}",CC-BY-4.0,https://doi.org/10.57961/72ef-kp32,Lernbaustein zum FDM: Datenrecycling - Wie Forschungsdaten nachgenutzt werden können,fdm.nrw (R) * orca.nrw (R),"This course was created as part of the FDM@Studium.nrw project. Research is based on data that is analysed in order to answer a wide variety of questions. Sometimes you have to collect your own data, e.g. via measurements, surveys or observations. In many cases, however, data that has already been collected and published can be utilised: this enables follow-up research and prevents duplication of work! In this course, you will gain insights into how to find research data and what should be taken into account when re-utilising it. You will learn how licences can enable re-use and receive tips on how to cite research data appropriately.",https://w3id.org/kim/hochschulfaechersystematik/n2,MBZ,university * studies * reuse of data * persistent identifiers * Creative Commons * research data management * Moodle learning management system * practical application,de,course,text * video * image,novice,2024-08-31,student (BA),isPartOf:https://landesinitiativefdmnrw.github.io/FDMatStudium/ * isSupplementTo:https://landesinitiativefdmnrw.github.io/FDMatStudium/thk/index.html * isSupplementTo:https://doi.org/10.57961/vx67-cf59 * isSupplementTo:https://doi.org/10.57961/2617-cs23 * isSupplementTo:https://doi.org/10.57961/V8G6-3205 * isSupplementTo:https://doi.org/10.57961/Z4WX-BH90 * isSupplementTo:https://doi.org/10.57961/mg20-xh16,36.9,1.0
72e7e91c-6fd0-43a9-b46e-d342f43b4206,"Stegemann, Jessica : {https://orcid.org/0000-0002-4149-1825} * Yildiz, Ceren : {https://orcid.org/0009-0007-6160-8836} * Blümm, Mirjam : {https://orcid.org/0000-0003-3665-7031} * Bock, Sina : {https://orcid.org/0000-0001-6754-8810} * Hackenbuchner, Janiça * Fritsch, Katharina : {https://orcid.org/0000-0002-0184-7823} ",CC-BY-4.0 ,https://doi.org/10.57961/mg20-xh16,Lernbaustein zum FDM: FAIR Play - Warum Forschungsdaten Management brauchen,fdm.nrw (R) * orca.nrw (R),"This course was created as part of the FDM@Studium.nrw project. It is dedicated to two terms that are often used in connection with research data management (RDM): the FAIR principles and the CARE principles. Participants will learn why responsible handling of data is FAIR and what is behind the acronym. The importance of the principles for the findability and accessibility of data, why data should be read and processed by humans and machines alike and what it takes for research data to be reused will also be explained. It also explains why ethical considerations are important in relation to data collection and use, and in particular the CARE principles.",https://w3id.org/kim/hochschulfaechersystematik/n3,MBZ,university * studies * Data management * research data management * FAIR * CARE * Moodle learning management system * Learning module * practical application,de,course,text * video * image,novice,2024-08-31,student (BA),isPartOf:https://landesinitiativefdmnrw.github.io/FDMatStudium/ * isSupplementTo:https://landesinitiativefdmnrw.github.io/FDMatStudium/thk/index.html * isSupplementTo:https://doi.org/10.57961/vx67-cf59 * isSupplementTo:https://doi.org/10.57961/2617-cs23 * isSupplementTo:https://doi.org/10.57961/V8G6-3205 * isSupplementTo:https://doi.org/10.57961/Z4WX-BH90 * isSupplementTo:https://doi.org/10.57961/mg20-xh16,76.5,1.0
ad2bb63f-9942-45c2-bead-223b89f79a82,"Kaiser, Kerstin : {https://orcid.org/0000-0002-4250-5109} * Rathmann, Torsten : {https://orcid.org/0000-0001-5880-1546}",CC-BY-SA-4.0,https://doi.org/10.57961/2617-cs23,Grundwissen: Datenmanagement in Studium & wissenschaftlicher Praxis,fdm.nrw (R) * orca.nrw (R),"This  Moodle self-study course was created as part of the FDM@Studium.nrw project. It teaches the basics of data in the research process, principles of digital publication, subsequent use, data organisation and file formats in four learning units and eight modules. The focus is on practical application and learning by example in order to teach students basic skills in dealing with research data.",https://w3id.org/kim/hochschulfaechersystematik/n4,MBZ,university * studies * Data management * Organization of data * Research process * research data management * Moodle learning management system * digital publication * practical application * FDM@Studium.nrw * OER of the month,de,course,text * video * image,novice,2024-08-31,student (BA),isPartOf:https://landesinitiativefdmnrw.github.io/FDMatStudium/ * isSupplementTo:https://landesinitiativefdmnrw.github.io/FDMatStudium/thk/index.html * isSupplementTo:https://doi.org/10.57961/vx67-cf59 * isSupplementTo:https://doi.org/10.57961/V8G6-3205 * isSupplementTo:https://doi.org/10.57961/Z4WX-BH90 * isSupplementTo:https://doi.org/10.57961/72ef-kp32 * isSupplementTo:https://doi.org/10.57961/mg20-xh16,194,1.0
fd1bffaa-ad26-4408-89cf-fc850577b67b,"Blümm, Mirjam : {https://orcid.org/0000-0003-3665-7031} * Fritsch, Katharina : {https://orcid.org/0000-0002-0184-7823} * Bock, Sina : {https://orcid.org/0000-0001-6754-8810} * Hackenbuchner, Janiça : {https://orcid.org/0000-0003-3880-7806} * Arning, Ursula : {https://orcid.org/0000-0002-7953-0666} * Förstner, Konrad Ulrich : {https://orcid.org/0000-0002-1481-2996} ",CC-BY-4.0 ,https://landesinitiativefdmnrw.github.io/FDMatStudium/thk/index.html,Blended-Learning-Basiskurs „Forschungsdatenmanagement“ der TH Köln ,fdm.nrw (R) * orca.nrw (R),This basic course was created as part of the FDM@Studium.nrw project. It is designed to teach the fundamentals of research data management and has a modular structure.,https://w3id.org/kim/hochschulfaechersystematik/n5,HTML,Research Data Management * blended-learning,de,course,text * video * image,novice,2024-08-31,student (BA),isPartOf:https://landesinitiativefdmnrw.github.io/FDMatStudium/ * isSupplementTo:https://doi.org/10.57961/2617-cs23 * isSupplementTo:https://doi.org/10.57961/vx67-cf59 * isSupplementTo:https://doi.org/10.57961/V8G6-3205 * isSupplementTo:https://doi.org/10.57961/Z4WX-BH90 * isSupplementTo:https://doi.org/10.57961/72ef-kp32 * isSupplementTo:https://doi.org/10.57961/mg20-xh16 * isPartOf:https://www.twillo.de/edu-sharing/components/render/a9eb44b3-2049-4d6b-a9e6-b766056b2895,,1.0
097a1e06-80a0-4774-a001-b697f160f324,"Posny, Ella Sofie : {https://orcid.org/0009-0009-0902-7764} * Heine, Angela : {https://orcid.org/0009-0008-6058-8551}",CC-BY-SA-4.0,https://doi.org/10.57961/vx67-cf59,Einführung in das Data Wrangling - Konzepte und Umsetzung in SPSS,fdm.nrw (R) * orca.nrw (R),This course was created as part of the FDM@Studium.nrw project. It provides an overview of the data wrangling process.,https://w3id.org/kim/hochschulfaechersystematik/n6,MBZ * .pdf,Data collection * set * record * preparation * SPSS * Statistical product and service solutions * Statistical package for the social sciences * Moodle learning management system,de,course,text * video * image,novice,2024-08-31,student (BA) * student (MA),"isPartOf:https://landesinitiativefdmnrw.github.io/FDMatStudium/ * isSupplementTo:https://doi.org/10.57961/2617-cs23
isSupplementTo:https://landesinitiativefdmnrw.github.io/FDMatStudium/thk/index.html (4) isSupplementTo:https://doi.org/10.57961/V8G6-3205 (5) isSupplementTo:https://doi.org/10.57961/Z4WX-BH90 (6) isSupplementTo:https://doi.org/10.57961/72ef-kp32 (7) isSupplementTo:https://doi.org/10.57961/mg20-xh16",245,1.0
3478fcf9-72ce-4781-aee3-939559df75f3,"Posny, Ella Sofie : {https://orcid.org/0009-0009-0902-7764}",CC-BY-SA-4.0,https://doi.org/10.5446/69272,Skalenniveaus - Eine kleine Entscheidungshilfe,fdm.nrw (R) * orca.nrw (R),"This video was created as part of the FDM@Studium.nrw project. It explains the concept of scale levels in connection with data wrangling. It describes which scale or measurement levels can be assigned to different types of data. Depending on the scale level of the data, different calculation operations can be carried out.",https://w3id.org/kim/hochschulfaechersystematik/n7,MP4,Research data management * Data wrangling * RDM * Scale levels * Analytical methods,de,course,video,novice,2024-08-31,student (BA),"isPartOf:https://landesinitiativefdmnrw.github.io/FDMatStudium/ * isSupplementTo:https://doi.org/10.57961/2617-cs23
isSupplementTo:https://landesinitiativefdmnrw.github.io/FDMatStudium/thk/index.html (4) isSupplementTo:https://doi.org/10.57961/V8G6-3205 (5) isSupplementTo:https://doi.org/10.57961/Z4WX-BH90 (6) isSupplementTo:https://doi.org/10.57961/72ef-kp32 (7) isSupplementTo:https://doi.org/10.57961/mg20-xh16",11.67065088,1.0
7a046af1-338f-4e6e-a2a8-e034c3f95e55,"Posny, Ella Sofie : {https://orcid.org/0009-0009-0902-7764}",CC-BY-SA-4.0,https://doi.org/10.5446/69273,Reliabilität - Ein kleines (Küchen-)Beispiel,fdm.nrw (R) * orca.nrw (R),This  video was created as part of the FDM@Studium.nrw project. It explains the significance that the stability of a measurement instrument can have for working with the data obtained from it. It describes how the so-called reliability of measurement instruments can be tested and calculated.,https://w3id.org/kim/hochschulfaechersystematik/n8,MP4,Research data management * Data wrangling * RDM * Reliability * Accuracy of measurement,de,course,video,novice,2024-08-31,student (BA),"isPartOf:https://landesinitiativefdmnrw.github.io/FDMatStudium/ * isSupplementTo:https://doi.org/10.57961/2617-cs23
isSupplementTo:https://landesinitiativefdmnrw.github.io/FDMatStudium/thk/index.html (4) isSupplementTo:https://doi.org/10.57961/V8G6-3205 (5) isSupplementTo:https://doi.org/10.57961/Z4WX-BH90 (6) isSupplementTo:https://doi.org/10.57961/72ef-kp32 (7) isSupplementTo:https://doi.org/10.57961/mg20-xh16",21.76843776,1.0
ef6c683d-90df-43e0-ada3-aca9a53629a8,"Fritsch, Katharina : {https://orcid.org/0000-0002-0184-7823} * Bock, Sina : {https://orcid.org/0000-0001-6754-8810} * Blümm, Mirjam : {https://orcid.org/0000-0003-3665-7031} * Fellinger, Emma * Gremberger, Sam",CC-BY-4.0 ,https://doi.org/10.5446/68610,Rechtliche Aspekte beim Forschungsdatenmanagement,fdm.nrw (R) * orca.nrw (R),"This  video was created as part of the FDM@Studium.nrw project. It explains that legal aspects may need to be taken into account when working with data. It is pointed out that data protection rules must be observed when using personal information and that the consent of participants must be obtained, e.g. for surveys. Particular reference is made to the importance of data licences and proper citation of research data.",https://w3id.org/kim/hochschulfaechersystematik/n9,MP4,Research data management * RDM * Personal data * Data protection * Licences * Transparency,de,course,video,novice,2024-08-31,student (BA),"isPartOf:https://landesinitiativefdmnrw.github.io/FDMatStudium/ * isSupplementTo:https://doi.org/10.57961/2617-cs23
isSupplementTo:https://landesinitiativefdmnrw.github.io/FDMatStudium/thk/index.html (4) isSupplementTo:https://doi.org/10.57961/V8G6-3205 (5) isSupplementTo:https://doi.org/10.57961/Z4WX-BH90 (6) isSupplementTo:https://doi.org/10.57961/72ef-kp32 (7) isSupplementTo:https://doi.org/10.57961/mg20-xh16",5.95591168,1.0
