DALIA_ID,Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
7706db70-1a81-4a7d-bc16-41a1a4746f13,GHGA : {organization http://www.wikidata.org/entity/Q98380337},proprietary,https://www.ghga.de/resources/training/sequencing-tech#c2013,Webinar: A Beginner’s Guide to DNA & Sequencing,GHGA (SR),"Divided into two parts, this webinar explains what DNA and RNA is and explores the method of DNA/RNA sequencing. The second part provides an introduction to the bioinformatic workflows that ‘prepare’ the data for analysis, presents examples of typical analysis protocols used in biomedical research and gives a glimpse into how GHGA will be relevant/important in genomic research.",,,,en,Lecture,multipart,,2022-06-30,,,,
04b969a6-81da-409d-9479-86a7dd2ee11e,"Smith, Nick",CC-BY-3.0,https://www.youtube.com/watch?v=9Dz2amDID6E,GHGA Webinar DNA & Squencing with Nick Smith - Part I,GHGA (SR),In this two part webinar about DNA and sequencing Nick Smith explains how Gene expression works and answers questions from the audience.,,,,en,Lecture,video,,2022-06-30,,isPartOf:https://www.ghga.de/resources/training/sequencing-tech#c2013 * isSupplementedBy:https://www.youtube.com/watch?v=miXzrfqzDu8 * isBasedOn:https://github.com/GHGA-Training/webinar/blob/main/Webinar_DNA%2C%20Sequencing%2C%20Workflows_Slides%2030.6.pdf,,
7941cf1a-97c4-47c3-8380-c3cb9c9fa62d,"Smith, Nick",CC-BY-3.0,https://www.youtube.com/watch?v=miXzrfqzDu8,GHGA Webinar DNA & Sequencing & FAIR workflows in GHGA w/ Nick Smith - Part II,GHGA (SR),In this two part webinar about DNA and sequencing Nick Smith explains how Gene expression works and answers questions from the audience.,,,,en,Lecture,video,,2022-06-30,,isPartOf:https://www.ghga.de/resources/training/sequencing-tech#c2013 * isSupplementTo:https://www.youtube.com/watch?v=9Dz2amDID6E * isBasedOn:https://github.com/GHGA-Training/webinar/blob/main/Webinar_DNA%2C%20Sequencing%2C%20Workflows_Slides%2030.6.pdf,,
a1ccb68b-feb7-4b0b-8107-15b0b5fdba7a,"Smith, Nicholas * Mertes, Christian",proprietary,https://github.com/GHGA-Training/webinar/blob/main/Webinar_DNA%2C%20Sequencing%2C%20Workflows_Slides%2030.6.pdf,Introduction to DNA & Sequencing,GHGA (SR),,,.pdf,,en,Lecture,presentation,,2022-06-30,,isPartOf:https://www.ghga.de/resources/training/sequencing-tech#c2013,5.25,
78cb3c96-706f-42d4-b4d7-d883f81e4ed7,GHGA : {organization http://www.wikidata.org/entity/Q98380337},proprietary,https://www.ghga.de/resources/training/sequencing-tech#c2018,Webinar: A Beginner’s Guide to Single Cell Sequencing,GHGA (SR),"Major advances in sequencing technology along with the development of sound analysis methods made Single Cell Sequencing available to a wide community of researchers recently. However, the analysis of sequencing results can still be challenging.
In this webinar, we provide an introduction to single cell sequencing, especially RNA sequencing. Which protocols are used? What are common quality measures? How can I correct for some quality issues? Which tools should I use to process my data, and is there a data processing standard? These are the first questions we want to tackle. In addition, the webinar will explain general analyses procedures and highlight workflows that are being used to unravel RNA sequencing results. We go deeper into singe cell analysis and the webinar will explain buzzwords, such as normalization, dimensional reduction, data integration, and cell label transfer.  At the end, we will also touch upon Galaxy as a tool for scRNA analysis.", ,,,en,Lecture,multipart,,2023-01-24,,,,
882a9241-a9c3-48c3-b1ac-03827ce5aca5,"Heyl, Florian",CC-BY-3.0,https://www.youtube.com/watch?v=dCzIfU3MJHA,GHGA Webinar - A Beginner's Guide to scRNAseq Analysis w/ Florian Heyl - Part 1,GHGA (SR),"This video is a recording of the GHGA Webinar ""A Beginner's Guide to scRNAseq Analysis"" with Florian Heyl. In this part, we cover the experimental methods and techniques.",,,,en,Lecture,video,,2023-01-24,,isPartOf:https://www.ghga.de/resources/training/sequencing-tech#c2018 * isSupplementedBy:https://www.youtube.com/watch?v=m1HsZpnTRMI * isBasedOn:https://github.com/GHGA-Training/webinar/blob/main/scRNAseq_analysis_slides.pdf,,
f81e0151-669c-4aa9-bb7e-325046c51527,"Heyl, Florian",CC-BY-3.0,https://www.youtube.com/watch?v=m1HsZpnTRMI,GHGA Webinar - A Beginner's Guide to scRNAseq Analysis w/ Florian Heyl - Part 2,GHGA (SR),"This video is a recording of the GHGA Webinar ""A Beginner's Guide to scRNAseq Analysis"" with Florian Heyl. This part covers the bioinformatics analyses that can be performed on the data.",,,,en,Lecture,video,,2023-01-24,,isPartOf:https://www.ghga.de/resources/training/sequencing-tech#c2018 * isSupplementTo:https://www.youtube.com/watch?v=dCzIfU3MJHA * isBasedOn:https://github.com/GHGA-Training/webinar/blob/main/scRNAseq_analysis_slides.pdf,,
df69539f-bb62-401e-97f3-b207d3173d43,"Heyl, Florian  ",proprietary,https://github.com/GHGA-Training/webinar/blob/main/scRNAseq_analysis_slides.pdf,A beginner’s guide to scRNAseq analysis,GHGA (SR),,,.pdf,,en,Lecture,presentation,,2023-01-24,,isPartOf:https://www.ghga.de/resources/training/sequencing-tech#c2018,3.08,
0976b0e4-c566-499c-bb8a-b13685781a66,GHGA : {organization http://www.wikidata.org/entity/Q98380337},proprietary,https://www.ghga.de/resources/training/sequencing-tech#c2189,Webinar: A Beginner’s Guide to Galaxy,GHGA (SR),"The webinar explains how you can use Galaxy to analyze your data, where you can find tutorials for Galaxy, and which data you can analyze with the platform. In addition, it dives shortly into the world of workflow languages and describes how you can create your own data processing/analysis pipeline without programming knowledge. At the end, the webinar presents useful options to interact with the Galaxy community to become an active contributor to one of the largest open-science projects in the world.",,,,en,Lecture,multipart,,2023-02-28,,,,
e5cffe2c-1ce1-4b40-ac07-6af2f953fe1f,"Heyl, Florian",CC-BY-3.0,https://www.youtube.com/watch?v=lNgQe3ZChSc,GHGA Webinar - A Beginner’s Guide to Galaxy w/ Florian Heyl,GHGA (SR),This video is a recording of the GHGA Webinar covering the basics of using Galaxy for data analysis.,,,,en,Lecture,video,,2023-02-28,,isPartOf:https://www.ghga.de/resources/training/sequencing-tech#c2189 * isSupplementedBy:https://www.youtube.com/watch?v=wKRK2FW6BiA * isSupplementedBy:https://www.youtube.com/watch?v=erUZecHIw2Q * isBasedOn:https://github.com/GHGA-Training/webinar/blob/main/galaxy_webinar.pdf,,
