DALIA_ID,Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
813cf081-c335-4581-a6e8-65ddbc0a9cae,"Stroppe, Anne * Jünger, Stefan * Straßegger, Fabienne",CC-BY-NC-4.0, https://kodaqs-toolbox.gesis.org/github.com/StefanJuenger/zipmatching/index/,AreaMatch,,"AreaMatch is a tool for assessing geospatial linking of incongruent units. This tool helps you link survey data (with geospatial identifiers) to contextual geographic units when those spatial units are incongruent (for example, ZIP code areas vs municipal boundaries). It presents three different matching methods (centroid matching, areal matching, and areal interpolation), provides  replicable code  and evaluates the accuracy and effectiveness of the chosen matching technique.

Further information: This tool was developed as part of the KODAQS project, a partnership between GESIS, the University of Mannheim, and LMU Munich.",https://w3id.org/kim/hochschulfaechersystematik/n148,.qmd,linked data,en,assessment * codenotebook * tutorial,code * text,Competent * Proficient,2025-01-06,student (BA) * student (MA) * student (PhD) * data steward * researcher,,143.6 MB,1.0
ff85598f-e0b7-4013-bfaa-36bc17410f26,"Rohr, Björn ",CC-BY-NC-4.0,https://kodaqs-toolbox.gesis.org/github.com/BjoernRohr/KODAQS-Toolbox-SampcompR/Tool_SampcompR/,SamCompR,,"SampcompR for response bias estimation is a tool that supports researchers in analyzing and documenting sample composition in survey data. It allows users to examine how well their realized sample reflects relevant population benchmarks and to identify potential sources of representation error. The tool provides practical functions to compute key sample composition indicators, visualize deviations from population distributions, and summarize findings in a transparent and reproducible way. All steps can be implemented directly in R, making it easy to integrate sample composition checks into standard data quality workflows.

Further information: This tool was developed as part of the KODAQS project, a partnership between GESIS, the University of Mannheim, and LMU Munich.",https://w3id.org/kim/hochschulfaechersystematik/n148,.qmd,survey data,en,assessment * codenotebook * tutorial,code * text,Advanced Beginner,2025-02-24,student (BA) * student (MA) * student (PhD) * data steward * researcher,,1.4 MB,1.0
768d753a-ae18-4f3e-a436-febb5c1933fe,"Kraemer, Fabienne * Eser, Arjin * Yıldız, Çağla * Roth, Matthias",CC-BY-NC-4.0,https://kodaqs-toolbox.gesis.org/github.com/kraemefe/resquin-tool-application/Resquin_Tool/,Resquin,,"Resquin is a tool for assessing response quality and careless responding in multi-item scales. This tool gives an overview on the assessment of response quality in multi-item scales and guides you through the quality analysis with replicable R-code. It introduces key response quality indicators along with code examples for their calculation, shows how to interpret the different response quality indicators, and assesses their suitability for different question types and response scales. The tool also briefly evaluates different caveats of selected response quality indicators.

Further information: This tool was developed as part of the KODAQS project, a partnership between GESIS, the University of Mannheim, and LMU Munich.",https://w3id.org/kim/hochschulfaechersystematik/n148,.qmd,survey data,en,assessment * codenotebook * tutorial,code * text,Advanced Beginner,2026-03-04,student (BA) * student (MA) * student (PhD) * data steward * researcher,,17.9 MB,1.1.2
92f384b9-73f2-41d8-8df4-88819f3ddfb9,"Koc, Piotr * Urban, Julian * Grüning, David * Greer, Zoe",CC-BY-NC-4.0,https://kodaqs-toolbox.gesis.org/github.com/GESIS-Methods-Hub/ZIS_R_tutor/index/,ScaleArch,,"ScaleArch is a tool guiding through the basic analyses needed to evaluate and document the validity of a scale as a research instrument. Using an example scale with continuous indicators, it provides hands-on guidance for computing descriptive statistics, exploring the dimensionality of items, fitting confirmatory factor models, and estimating reliability coefficients.

Further information: This tool was developed as part of the KODAQS project, a partnership between GESIS, the University of Mannheim, and LMU Munich.",https://w3id.org/kim/hochschulfaechersystematik/n148,.qmd,survey data,en,assessment * codenotebook * tutorial,code * text,Advanced Beginner,2025-01-17,student (BA) * student (MA) * student (PhD) * data steward * researcher,,1.3 MB,1
43c71bff-460f-4b85-ae6c-4bb8826264fb,"Repke, Lydia * Birkenmaier, Lukas * Eryar, Cem",CC-BY-NC-4.0,https://kodaqs-toolbox.gesis.org/github.com/lukasbirki/tool_sqp/index/,SQP,,"The Survey Quality Predictor (SQP) helps researchers evaluate the expected measurement quality of survey questions before data collection even begins. By coding formal and linguistic features, such as wording, response scale, and mode of administration, SQP predicts key quality components like reliability, validity, and overall measurement quality. By doing so, SQP helps researchers design survey questions that are both clearer and more reliable to address measurement error prior to collecting data. The SQP tool demonstrates this with an applied example that compares two versions of the same question on satisfaction with the country’s economy using different response scales, showing how design choices lead to different predicted quality.

Further information: This tool was developed as part of the KODAQS project, a partnership between GESIS, the University of Mannheim, and LMU Munich.",https://w3id.org/kim/hochschulfaechersystematik/n148,.qmd,survey data,en,assessment * hcrt:case_study * tutorial,text,Advanced Beginner,2025-02-11,student (BA) * student (MA) * student (PhD) * data steward * researcher,,8.5 MB,2.0
606fae1d-8702-4985-921c-f92214f7c7cb,"Dehne, Julian ",CC-BY-NC-4.0,https://kodaqs-toolbox.gesis.org/github.com/juliandehne/delab-trees/index/,Delab Trees,,"The Delab Trees tool is a Python library for analyzing network data, with a particular focus on social media conversation structures. Within the TED-On framework, it is especially relevant at the construct definition stage, where it helps researchers assess the validity of individual nodes in conversation trees. It can also be used during data preprocessing and data analysis, for example to handle large-scale conversation trees, account for deleted posts, study interaction dynamics between authors, and support discussion mining. 

Further information: This tool was developed as part of the KODAQS project, a partnership between GESIS, the University of Mannheim, and LMU Munich.",https://w3id.org/kim/hochschulfaechersystematik/n148,.ipynb,digtal behavioral data,en,assessment * codenotebook * tutorial,code * text,Competent * Proficient,2024-12-17,student (BA) * student (MA) * student (PhD) * data steward * researcher,,81.9 MB,0.4.2
a2506f48-b553-40ca-aca6-0ad8428a6b07,"Fröhling, Leon ",CC-BY-NC-4.0,https://kodaqs-toolbox.gesis.org/github.com/frohleon/tesd_tool/index/,TES-D,,"The Total Errors Sheet for Datasets (TES-D) is a template-based approach for documenting datasets from online sources such as social media or Wikipedia, focusing on potential errors throughout the research process. It provides a structured catalogue of questions to guide researchers in reflecting critically on data collection and potential measurement or representation errors. Completed TES-D documentation is intended to accompany the dataset, enhancing transparency, reproducibility, and responsible reuse, as illustrated by the “Call me sexist, but…” dataset by Samory et al. (2021), where structured documentation enhances interpretability and reuse. 

Further information: This tool was developed as part of the KODAQS project, a partnership between GESIS, the University of Mannheim, and LMU Munich.",https://w3id.org/kim/hochschulfaechersystematik/n148,.qmd,digtal behavioral data,en,assessment * hcrt:case_study * tutorial,text,Advanced Beginner,2025-02-24,student (BA) * student (MA) * student (PhD) * data steward * researcher,,1.6 MB,0.0.2
0fc4f2ec-6aa9-4896-8401-2dd1e8bc0e83,"Peters, Yannik * Shah, Kunjan",CC-BY-NC-4.0,https://kodaqs-toolbox.gesis.org/github.com/YannikPeters/DQ_Tool_TextPreprocessing/index/,TextPrep,,"The TextPrep tool, implemented in R, provides text preprocessing and comparative strategies to improve the quality of social media data. It supports common techniques, such as automated translation, minor text operations, and stopword filtering, while allowing systematic comparisons of alternative approaches. The tool helps to assess how different procedures may affect analytical outcomes and provides metrics to quantify differences, helping researchers evaluate choices transparently. As an illustrative use case, a synthetic dataset of social media posts about the 2024 Summer Olympics is processed using different configurations to compare their impact on the resulting text. 

Further information: This tool was developed as part of the KODAQS project, a partnership between GESIS, the University of Mannheim, and LMU Munich.",https://w3id.org/kim/hochschulfaechersystematik/n148,.qmd,digtal behavioral data,en,assessment * codenotebook * tutorial,code * text,Competent * Proficient,2024-12-18,student (BA) * student (MA) * student (PhD) * data steward * researcher,,1.5 MB,1.0.3
6c71c6ec-c8ec-4659-b919-c7b653794843,"Birkenmaier, Lukas ",CC-BY-NC-4.0,https://kodaqs-toolbox.gesis.org/github.com/lukasbirki/tool_valitext/index/,ValiText,,"The ValiText provides a framework and practical guidance for validating text-based measures of social constructs. It mitigates measurement errors by outlining key validation evidence, defining tailored validation steps, and offering a checklist for transparent documentation. By guiding researchers through a systematic process, ValiText helps ensure that text-derived indicators accurately capture the intended constructs. As an example, it has been applied to the “Call me sexist, but…” dataset by Samory et al. (2021) to demonstrate practical validation and documentation. 

Further information: This tool was developed as part of the KODAQS project, a partnership between GESIS, the University of Mannheim, and LMU Munich.",https://w3id.org/kim/hochschulfaechersystematik/n148,.qmd,digtal behavioral data,en,assessment * hcrt:case_study * tutorial,text,Competent * Proficient,2024-11-22,student (BA) * student (MA) * student (PhD) * data steward * researcher,,3.6 MB,
90b40c90-a5d3-4e43-a32a-24ea6b688503,"Zhang, Siyu * Fröhling, Leon",CC-BY-NC-4.0,https://kodaqs-toolbox.gesis.org/github.com/SiyuZ-00/DQ_Tool_SubData/index/,SubData,,"The SubData tool, implemented as a Python library, evaluates the alignment between large language models (LLMs) and human perspectives in subjective annotation tasks. It is particularly relevant during data preprocessing, where it helps to improve data quality by harmonizing heterogeneous datasets, providing standardized keyword mappings and taxonomies, and enabling theory-driven analyses of perspective alignment. In addition, SubData includes ten curated datasets that can be used to identify model biases, test generalizability, and contextualize hate speech datasets within the broader literature. 

Further information: This tool was developed as part of the KODAQS project, a partnership between GESIS, the University of Mannheim, and LMU Munich.",https://w3id.org/kim/hochschulfaechersystematik/n148,.qmd,digtal behavioral data,en,assessment * codenotebook * tutorial,code * text,Competent * Proficient,2026-01-08,student (BA) * student (MA) * student (PhD) * data steward * researcher,,2.1 MB,1.0.2
