DALIA_ID,Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
6c8d8b6d-8d77-43a3-8945-4f56eaf9811f,"Moeller, Katrin : {https://orcid.org/0000-0003-4090-5667}",CC-BY-NC-ND-4.0,https://www.db-thueringen.de/receive/dbt_mods_00049178,"Säuglingssterblichkeit, Epidemie und demografische Geschlechtergeschichte",,"Bei diesen Videos handelt es sich um den ungeschnittenen Vortrag der Konferenz „Digital Humanities and Gender History“. Inhaltlich werden statistische Bevölkerungsdaten mit digitalen Techniken für ein Gender-Studies-Projekt analysiert.<br><br>(Quelle: Text übernommen von Ressource, (https://www.db-thueringen.de/receive/dbt_mods_00049179) letzter Zugriff: 10.03.2025)",Mittlere und neuere Geschichte * Wirtschafts-/ Sozialgeschichte,,Geschlechtergeschichte * Geschlecht * Tagung * Konferenz * Epidemie * Sterblichkeit * Datensätze * Daten * Tutorial * SPSS * Digitale Geisteswissenschaften * Geschichtswissenschaft,de,https://w3id.org/kim/hcrt/video * lecture,text * video,novice,2021,student (BA) * student (MA) * teacher (higher education) * researcher,hasPart:https://doi.org/10.22032/dbt.49179 * hasPart:https://doi.org/10.22032/dbt.49180 * hasPart:https://doi.org/10.22032/dbt.49181 * hasPart:https://doi.org/10.22032/dbt.49182 * hasPart:https://doi.org/10.22032/dbt.49183 * hasPart:https://doi.org/10.22032/dbt.49184 * hasPart:https://doi.org/10.22032/dbt.49185 * hasPart:https://doi.org/10.22032/dbt.49186 * hasPart:https://doi.org/10.22032/dbt.49187 * hasPart:https://doi.org/10.22032/dbt.49188 * hasPart:https://doi.org/10.22032/dbt.49189 * hasPart:https://doi.org/10.22032/dbt.49190,,
e39712c1-6209-4a68-a957-8fd796a37643,Université du Luxembourg,unlicensed,https://ranke2.uni.lu,Ranke.2 - Quellenkritik im digitalen Zeitalter,,"Ranke.2 ist eine vom C²DH entwickelte Lern- und Lehrplattform für Studierende und Lehrende der historischen Wissenschaften, die den Fokus auf Quellenkritik digitalisierter und digital entstandener Quellen setzt. <br>Ziel ist es, ein grundlegendes Verständnis des Zusammenspiels zwischen digitaler Technologie und historischer Forschung zu erlangen, um die verschiedenen Arten digitaler Ressourcen bzgl. ihres Entstehungskontexts kritisch bewerten zu können.",Geschichte,,Geschichtswissenschaft,en,index,text * video * image,,,student (BA) * student (MA) * teacher (higher education),hasPart:https://ranke2.uni.lu/u/wikipedia-historical-source/,,
6e0c6559-72af-43f1-badb-a26da9940bc8,"Ruhr-Universität Bochum * Gräbe, Viktoria * Kortling, Philip",CC-BY-NC-SA 4.0,https://www.floh-geschichte.de/,Forschendes Lernen mit Oral History in der Geschichtswissenschaft,,"Im Zentrum der Lern- und Lehrplattform steht der Erwerb von Kompetenzen im Umgang mit Oral History, die Absolventinnen und Absolventen der Geschichtswissenschaft als Vermittlerinnen und Vermittler in Schulen und geschichtskulturellen Institutionen sowie in der Forschung nutzen und weitergeben können.<br>Die Lehrenden bekommen die aus dem Drittmittelprojekt ""Forschendes Lernen mit Oral History in der Geschichtswissenschaft (FLOH)2 hervorgegangenen,  fertig konzipierten, erprobten und evaluierten Lehrmaterialien als OER (Open Educational Ressources) zur Verfügung gestellt, die sie direkt auf ihr inhaltliches Thema bzgl. Oral History anwenden können. Diese umfassen den gesamten Forschungsprozess von Planung des Oral History-Projekts, über ethische Fragen, die Transkription bis zur Auswertung.<br><br>Die entwickelten Lehreinheiten und Materialien umfassen:<br>- die Zusammenstellung einleitender Texte, eine Didaktisierung von einer thematischen Fragestellung über die Auswahl der Interviewpartnerinnen und Interviewpartner bis zur Erhebung und Auswertung der Interviews,<br>- eine Möglichkeit der individuellen Schwerpunktsetzung auf ausgewählten Teilaspekten eines Oral History-Projekts in Abhängigkeit vom Umfang und den Lernzielen der Lehrveranstaltung,<br>- praktische Anleitungen und Informationen zu den zwingend notwendigen technischen, rechtlichen und organisatorischen Vorarbeiten inklusive digitaler Tutorials zum Umgang mit der benötigten Hard- und Software,<br>- Interviewmaterial mit Transkriptionen und ausführlicher Kontextualisierung auf Oral-History.de.<br><br>(Quelle: Text übernommen von Ressource, (https://ranke2.uni.lu/u/wikipedia-historical-source/) letzter Zugriff: 10.03.2025)",Geschichte,.pdf,,de,index,text * video * image,competent,,teacher (higher education),,,
cec663e1-c020-4081-b732-de54578753f6,NewsEye,unlicensed,https://www.newseye.eu/resources/educational-material/syllabi-and-teaching-material-for-universities/,Syllabi und Lehrmaterial für Universitäten,,"NewsEye, das durch das Forschungs- und Innovationsprogramm Horizon 2020 der Europäischen Union finanziert wurde, ist ein Forschungsprojekt, das neue Konzepte, Methoden und Werkzeuge für einen verbesserten Zugang zu historischen Zeitungen für die digitalen Geisteswissenschaftlen entwickelt hat. <br>Es wurden zudem zwei Syllabi (hier: Lehrveranstaltungskonzepte) und Lehrvideos konzipiert, die Lehrende beim Einsatz der entwickelten Werkzeuge in der Lehre unterstützen sollen.",Geschichte,,,en,tutorial * https://w3id.org/kim/hcrt/video * lesson_plan,text * video * image * audio,novice,,teacher (higher education),hasPart:https://www.newseye.eu/resources/educational-material/syllabi-and-teaching-material-for-universities/syllabus-digitale-geschichtswissenschaft/ * hasPart:https://www.newseye.eu/index.php?id=162,,
1d0dc9bc-3445-486d-8db2-642b5d10965f,"Brettschneider, Peter : {https://orcid.org/0000-0003-0551-1363} * Biernacka, Katarzyna : {https://orcid.org/0000-0002-6363-0064} * Böker, Elisabeth : {https://orcid.org/0000-0002-6025-3144} * Danker, Sarah Ann : {https://orcid.org/0000-0003-4965-1085} * Jacob, Juliane : {https://orcid.org/0000-0002-0443-3570} * Perry, Anja : {https://orcid.org/0000-0003-0574-9275} * Wiljes, Cord : {https://orcid.org/0000-0003-2528-5391} * Wuttke, Ulrike : {https://orcid.org/0000-0002-8217-4025}",CC-BY-4.0,https://doi.org/10.5281/zenodo.5243231,Urheberrecht und Lizenzierung bei Forschungsdaten,,"Diese Veröffentlichung umfasst alle Materialien einer zweistündigen Lehreinheit (hier Online-Workshop) zur Einführung in das Urheberrecht und Lizenenzmodelle, die der Jurist Peter Brettschneider von bw2FDM mit Kolleg*innen der UAG Schulungen/Fortbildungen der DINI/nestor-AG Forschungsdaten 2021 gegeben hat.<br>Neben Präsentationsfolien sind das ein Lehrdrehbuch mit detailliertem Ablauf des Online-Workshops, eine Praxisübung zum Thema Lizenzverträge inklusive Auflösung, sowie Fragen für einen Quiz.<br><br>(Quelle: Text übernommen von Ressource (https://zenodo.org/records/5243232), letzter Zugriff: 10.03.2025)",Generisch,.pdf,Forschungsdatenmanagement * Urheberrecht * Lizenzierung,de,presentation,text,novice,2021-08-24,data steward * researcher,,,1
12c3c4bb-0d8b-4058-b917-4d0b3725fbce,"Apostolopoulos, Petros : {https://orcid.org/0009-0006-3765-2370} * Papastamkou,  Sofia : {https://orcid.org/0000-0002-5148-1348}",unlicensed,https://ranke2.uni.lu/u/wikipedia-historical-source/,Wikipedia as a source of historical knowledge: Applying digital source criticism,,"Die Lerneinheit widmet sich der kritischen Herangehensweise (digitale Quellenkritik) einer Nutzung von Wikipedia als historische digitale Quelle für die eigene Forschung. Kleinschrittig werden hier die Wege und Möglichkeiten erkundet, wie man anhand der Infrastruktur der Plattform Entstehungsgeschichte und Quellen eines Inhalts untersuchen und bewerten kann.",Geschichte,,Wikipedia,en,https://w3id.org/kim/hcrt/video * lecture * https://w3id.org/kim/hcrt/drill_and_practice,text * video * image,novice,2024-09-13,student (BA) * student (MA) * researcher,isPartOf:https://ranke2.uni.lu,,
91b6d42d-bc17-41fa-9127-e17bf1171907,"Heldt, Camilla : {https://orcid.org./0009-0001-2671-5923} * Röttger-Rössler, Birgitt : {https://orcid.org./0000-0001-9828-3288}",CC-BY-SA-4.0,https://data-affairs.affective-societies.de/lerneinheiten/einfuehrung-forschungsdatenmanagement/,DATA AFFAIRS - Einführung in das Forschungsdatenmanagement,,"Diese Lerneinheit informiert über die Open-Science-Bewegung (OS) und ihre Ziele und gibt einen Überblick über die zentralen Konzepte des Forschungsdatenmanagements. (Quelle: Text übernommen von Ressource (https://data-affairs.affective-societies.de/lerneinheiten/einfuehrung-forschungsdatenmanagement/), letzter Zugriff: 10.03.2025)",Sozial- und Kulturanthropologie,,Dateiaufbewahrung * Datenschutz * Datensicherheit * GWP * Datenmanagementplan * Nachnutzung * FAIR-Prinzipien * Open Science,de,lecture,text * image * audio,novice,2023,student (BA) * student (MA) * researcher,isPartOf:https://data-affairs.affective-societies.de * isSupplementTo:https://data-affairs.affective-societies.de/artikel/daten-in-ethnografischer-forschung/,,1
c3a22c3b-f1f9-4c27-ab8d-31d62bba894f,"Heldt, Camilla : {https://orcid.org./0009-0001-2671-5923} * Röttger-Rössler, Birgitt : {https://orcid.org./0000-0001-9828-3288} * Voigt, Anne : {https://orcid.org./0000-0002-2873-3201}",CC-BY-SA-4.0,https://data-affairs.affective-societies.de/lerneinheiten/archivierung/,DATA AFFAIRS - Archivierung,,"In dieser Lerneinheit geht es um die Archivierung von Forschungsdaten, d. h. um Aspekte, die für eine langfristige, digitale Aufbewahrung und die dafür notwendige Datenaufbereitung zu beachten sind. Die Perspektive liegt auf der des „Datengebens“. Da die Archivierung von Daten die Voraussetzung für ihre wissenschaftliche Nachnutzung (in Forschung und Lehre) bildet, sollten beide Lerneinheiten als miteinander verbunden verstanden werden. In der Lerneinheit zur Nachnutzung liegt der Fokus auf dem „Datennehmen“. (Quelle: Text übernommen von Ressource (https://data-affairs.affective-societies.de/lerneinheiten/archivierung/), letzter Zugriff: 10.03.2025)",Sozial- und Kulturanthropologie,,Urheberrecht * Nachnutzung * Lizenzen * Informierte Einwilligung * Persistente Identifikatoren * Creative-Commons-Lizenzen * DOI * Datenaustausch * Dateiformat * Datendokumentation * Digitale Daten * FAIR-Prinzipien * Forschungsdaten * Metadaten * ORCID (Open Research and Contributor-ID) * Open Science * Repositorium * Sensible Daten * proprietär * Geschichtswissenschaft,de,lecture,text * image,novice,2023,student (BA) * student (MA) * researcher,isPartOf:https://data-affairs.affective-societies.de * isSupplementTo:https://data-affairs.affective-societies.de/lerneinheiten/nachnutzung/,,1
f4b4e2ea-e8b5-4170-ba0b-9a4867307e2b,"Röttger-Rössler, Birgitt : {https://orcid.org./0000-0001-9828-3288} * Voigt, Anne : {https://orcid.org./0000-0002-2873-3201}",CC-BY-SA-4.0,https://data-affairs.affective-societies.de/lerneinheiten/dateibenennung/,DATA AFFAIRS - Dateibenennung,,"In dieser Lerneinheit geht es um Benennungen von (Forschungs)-Daten. Eine klare Dateibenennung, z. B. mithilfe einer Benennungskonvention, ist neben einer systematischen Ordnerstruktur (vgl. Lerneinheit Ordnerstruktur) ein wichtiger Baustein der Dateiaufbewahrung und -sicherung. (Quelle: Text übernommen von Ressource (https://data-affairs.affective-societies.de/lerneinheiten/dateibenennung/), letzter Zugriff: 10.03.2025)",Sozial- und Kulturanthropologie,,Dateiorganisation * Dateibenennung * Versionierung * Versionierungsmethoden * Speicherung * Dateiname * Dateityp,de,lecture,text * image,novice,2023,student (BA) * student (MA) * researcher,isPartOf:https://data-affairs.affective-societies.de/artikel/dateibenennung/#metadatenhttps://data-affairs.affective-societies.de * isSupplementTo:https://data-affairs.affective-societies.de/lerneinheiten/ordnerstruktur/,,1
31b4a379-05dd-42d6-a78c-111eb8a44584,"Dührsen, Jakob Lennart : {https://orcid.org./0000-0001-7075-6450} * Voigt, Anne : {https://orcid.org./0000-0002-2873-3201}",CC-BY-SA-4.0,https://data-affairs.affective-societies.de/lerneinheiten/dateispeicherung/,DATA AFFAIRS - Datenspeicherung,,"In dieser Lerneinheit geht es um mögliche Gefahren und Fallstricke bei der Datenspeicherung, wie diese vermieden und Daten sicher gespeichert werden können, um einem möglichen Datenverlust vorzubeugen. Maßnahmen zum Schutz der Daten vor unbefugtem Zugriff werden in der Lerneinheit Data Affairs-Datensicherheit behandelt. (Quelle: Text übernommen von Ressource (https://data-affairs.affective-societies.de/lerneinheiten/dateispeicherung/), letzter Zugriff: 10.03.2025)",Sozial- und Kulturanthropologie,,Dateiorganisation * Dateiaufbewahrung * Datenschutz * Datensicherheit * GWP,de,lecture,text * image,novice,2023,student (BA) * student (MA) * researcher,isPartOf:https://data-affairs.affective-societies.de,,1
