DALIA_ID,Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
47198d1d-fedc-4123-b77c-b1628e82cc8f,"Wilbrandt, Jeanne : {https://orcid.org/0000-0002-0363-3837}",CC-BY-4.0,https://doi.org/10.5281/zenodo.16911852,RDM Tools & Resources with Examples from ELIXIR,Research data management (RDM) open training materials (R),"The presentation provides a minimal refresher on the topics and scope of RDM. Using the SNAFU Video (DOI: 10.6084/m9.figshare.8061722.v1), the relevance is highlighted. The main matter of the talk covers specific tools and resources along the research data life cycle, giving prevalence to basic, easy to use elements. ELIXIR, the European Life Sciences Infrastructure has an active RDM community and continuously provides relevant tools and resources that are often unknown - thus, a highlight is placed here. Since approaching European Data Stewards may be daunting to students who need advice, a slide is dedicated to presenting links to networks and initiatives from local to European scope. The session is closed with an activity (writing own take home messages) to promote active remembering and consolidation of RDM input of the day. Afterwards, time for questions is accounted for.",https://w3id.org/kim/hochschulfaechersystematik/n0,.pdf * .key * .numbers * .pages,Research Data Management * RDM * Metadata * RDM Tools * RDM resources * ELIXIR,en,lecture,presentation,novice * advanced beginner * competent,2025-08-25,student (MA) * student (PhD) * data steward * researcher,,79,1
02a5a535-5303-4bc1-9bc8-fea1e5da3508,"Rex, Jessica : {https://orcid.org/0000-0002-9257-3812}",CC-BY-4.0,https://doi.org/10.5281/zenodo.15373541,Introduction to Research Data Management,Research data management (RDM) open training materials (R),"Slides for the ""Introduction to Research Data Management"" Workshop at TU Ilmenau.",https://w3id.org/kim/hochschulfaechersystematik/n0,.pptx,Research Data Management * RDM * Research data,en,lecture,presentation,novice * advanced beginner,2025-05-09,student (MA) * student (PhD) * data steward * researcher,,21,5
c5fda3cb-6162-40ba-bf1d-3fe29fcc03f2,"Rex, Jessica : {https://orcid.org/0000-0002-9257-3812}",CC-BY-4.0,https://doi.org/10.5281/zenodo.15282476,Einführung ins Forschungsdatenmanagement,Research data management (RDM) open training materials (R),"Power-Point-Folien zum Workshop ""Einführung ins Forschungsdatenmanagement"" an der TU Ilmenau.",https://w3id.org/kim/hochschulfaechersystematik/n0,.pptx,Forschungsdaten * Forschungsdatenmanagement,de,lecture,presentation,novice * advanced beginner,2025-04-24,student (MA) * student (PhD) * data steward * researcher,,44,6
d5a92799-0c52-4a86-80c9-a733211a1ff6,"Knight, Gareth * Darby, Robert * Grace, Stephen * Bailyes, Daniel * Fina, Federica * Stark, Isobel * Donaldson, Mary",CC-BY-4.0,https://doi.org/10.5281/zenodo.15261419,Data Management Plans for Postgraduate Researchers workshop material – 11 March 2025,Research data management (RDM) open training materials (R),"Presentations and summary reports delivered at the Data Management Plans for Postgraduate Researchers online workshop on 11 March, 2025. The purpose of the workshop was to discuss and share practice related to the adoption and implementation of institutional Data Management Plan (DMP) mandates for postgraduate researchers. The workshop was comprised of presentations that outlined results of the pre-workshop survey and four institutional case studies of implemented procedures. This was followed by discussion and Q&A.",https://w3id.org/kim/hochschulfaechersystematik/n0,.pptx * .pdf,data management plans * postgraduate Researchers * university policy,en,lecture,presentation,proficient,2025-04-22,researcher,,3.9,1
3464eb0f-6451-4dc4-92fb-71c0381b3b15,"Wilbrandt, Jeanne : {https://orcid.org/0000-0002-0363-3837}",CC-BY-4.0,https://doi.org/10.5281/zenodo.11120872,Research Data Management Intro Series: Coffee Lectures & Espresso Shots,Research data management (RDM) open training materials (R),"„What is research data management?“
„How can RDM help me in my daily work?“
„What would I need to do?“

In this series, we break answers to these and similar questions into digestible chunks to go with your midday coffee. With this, we hope to help you to maintain good research data management (RDM) in your daily work. Using data management best practices can be easy, if you have a good starting point, a practice you can embrace and maintain.

In the Coffee Lectures (25 minutes + time for questions), we take a quick dive into a selected topic from the RDM realm. Here, you will get to know models, concepts, and motivations as a basis for finding and adopting RDM practices that work for you.

Espresso Shots are our super short lectures (5-10 minutes + time for questions) that aim to provide you with one selected actionable practice at a time that you can easily adopt today.

All parts of the series are provided here as slides as well as as video recordings!",https://w3id.org/kim/hochschulfaechersystematik/n0,.pdf * .mp4 * .png * .key,Research Data Management * RDM * FAIR data principles * Data Management Plan * DMP * File Naming * Folder Structure * Coffee Lecture * Metadata * Documentation * Tidy Data * Archiving * Backup,en,tutorial,video * text * audio,novice * advanced beginner,2024-05-06,student (MA) * student (PhD) * researcher,,1800,2
085bf2b2-0385-4f27-9d09-615f9872ae01,"Mendes, Pedro S. F.",CC-BY-4.0,https://doi.org/10.5281/zenodo.8117173,Open Data Crash Course,Research data management (RDM) open training materials (R),"The document contains a presentation slidepack for an Open Data Crash Course.

It covers: (i) why open science is important, (ii) what is data management about, and (iii) how can data be shared in a FAIR manner.",https://w3id.org/kim/hochschulfaechersystematik/n0,.pptx,Open science * Open data * Data management * Data sharing,en,lecture,presentation,novice,2022-06-03,,,25.1,3
261446f0-6ee7-44fb-a199-9b4bb0529a3b,"Wilbrandt, Jeanne : {https://orcid.org/0000-0002-0363-3837}",CC-BY-4.0,https://doi.org/10.5281/zenodo.8095034,"Gamification in RDM Training - Why, what, and how? [Workshop]",Research data management (RDM) open training materials (R),"This short presentation outlines why gamification (here used in the wider sense: any gameplay element used in a non-game context) can be beneficial in research data management (RDM) training. Multiple positive effects are indicated and the goals that can be achieved in the context of RDM training are outlined. Several examples of games that were either adapted or designed for RDM training are listed. Hints for the implementation in own trainings are given and the audience was then instructed and encouraged to try one game (RDM taboo) for themselves.

",https://w3id.org/kim/hochschulfaechersystematik/n0,.pdf * .txt * .key,Research Data Management * RDM * Gamification * Training,en,lecture,presentation,novice,2023-06-29,,,30.2,1
ed2038ae-56bb-46b0-9a6f-e28ff4db5bd8,"Shigapov, Renat",CC-BY-4.0,https://doi.org/10.5281/zenodo.7993735,FAIR Data Week: I for Interoperable,FDZ @ UB Mannheim (S) * Research data management (RDM) open training materials (R) * BERD@NFDI Community (R),"This is a short introduction into interoperable data in context of the FAIR principles from Research Data Center of the University of Mannheim. It provides definition, motivation and basic ways how to make your data interoperable. There is additionally a GitHub repository for the whole course: https://github.com/UB-Mannheim/FAIR-Data-Week.",https://w3id.org/kim/hochschulfaechersystematik/n0,.pdf,FAIR principles * FAIR data * interoperable * interoperability,en,lecture,presentation,novice,2023-06-01,,,5.7,1
0b8e2979-40bd-4466-8457-2d60efbc60ec,"Bacher, Tabea",CC-BY-4.0,https://doi.org/10.5281/zenodo.7505425,HeFDI Data Talk: MaRDI - Mathematical Research Data Initiative,HeFDI (S) * Research data management (RDM) open training materials (R),"Research data in mathematics come in many different forms. The Mathematical Research Data Initiative MaRDI, the consortium for mathematics in the National Research Data Infrastructure (NFDI), is working with the scientific community to develop an infrastructure for the FAIR handling of these diverse mathematical research data. This presentation describes the structure of the consortium, services under construction and current developments.

The HeFDI Data Talks are a bi-weekly open information and discussion event focused on data management in the context of science, in which relevant NFDI consortia as well as research data management services present themselves. The series discusses current topics and presents numerous – including local and regional – tools and services. 

Important note : You can watch a recording of this HeFDI Data Talk under https://www.youtube.com/watch?v=aNsyESomOBU. Feel free to also check out our other event recordings there!",https://w3id.org/kim/hochschulfaechersystematik/n0,.pdf,Forschungsdatenmanagement * FDM * Forschungsdaten * mathematische Forschungsdaten * NFDI * Nationale Forschungsdateninfrastruktur * Infrastruktur * Mathematik * FAIRe Daten * FAIR-Prinzipien * Metadaten * Metadatenerfassung * Datenanalyse * Computeralgebra * Software * wissenschaftliches Rechnen * Statistik * maschinelles Lernen * research data management * RDM * research data * mathematical research data * FAIR data * FAIR principles * National Research Data Infrastructure * infrastructure * metadata * metadata capture * data analysis * computer algebra * scientific computing * statistics * machine learning * MaRDI4NFDI * HeFDI Data Talk,en,lecture,presentation,novice,2022-12-02,,,4.4,1
c3cd6a4b-47e9-4613-a5bd-3013e21dc145,"Wilbrandt, Jeanne : {https://orcid.org/0000-0002-0363-3837}",CC-BY-4.0,https://zenodo.org/records/7113868,Love Your Data!,Research data management (RDM) open training materials (R),"Research Data Management is gaining traction as the talk of town in Germany: funding agencies start to demand Data Managements Plans, the NFDI is taking up their work to connect research infrastructures, data stewards are hired.

With this talk, I would like to raise awareness for this topic among researchers and provide them with terms and motivation to talk about and improve their data handling.
Questions to ask yourself here are for example
„How do I name my files so I can find them again?“,
„What does this variable name stand for?“, or
„Will I know in 6 months time how I measured this parameter?“.

Answers to these and many more are required to write a Data Management Plan and thus ultimately to acquire funding. Here, I will outline the basic concepts, benefits, and resources available to setup and maintain good data management in compliance with good scientific practice. Remember: Documenting your research is like writing a love letter to your data. Love your data!

 ",https://w3id.org/kim/hochschulfaechersystematik/n0,.pdf * .txt * .key,Research Data Management * file naming,en,tutorial,text,novice,2022-09-21,researcher,,49,1.1
