DALIA_ID,Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
ff265feb-e514-4494-9ebd-66323f104e20,"Geiger, Jonathan : {https://orcid.org/0000-0002-0452-7075} * Kolodzie, Lisa : {https://orcid.org/0000-0003-3940-6908} * Schumacher, Mareike : {https://orcid.org/0000-0002-7952-4194} * Toschka, Patrik : {https://orcid.org/0000-0003-2470-4590}",CC-BY-SA-4.0,https://radihum20.de/ag-digital-humanities-theorie/,RaDiHum20 spricht mit der AG Digital Humanities Theorie,Digital Humanities (S),"Wir vom Podcast RaDiHum20 haben mit Rabea Kleymann und Jonathan Geiger von der DHd AG Digital Humanities Theorie gesprochen. Das war ein Heimspiel, denn Jonathan ist ja nicht nur Convenor der AG, sondern auch Co-Host unserer Show. Unsere Themen heute waren Theorie und Theorielosigkeit in den digitalen Geisteswissenschaften, Begriffe und die Findung einer gemeinsamen Sprache in einem interdisziplinären Feld, Visionen und Aktivitäten der DHd-AG und noch einiges mehr. Moderation: Jonathan D. Geiger, Lisa Kolodzie, Patrick Toschka, Mareike Schumacher. Gäste: Rabea Kleymann, Jonathan D. Geiger.",https://w3id.org/kim/hochschulfaechersystematik/n1 * https://w3id.org/kim/hochschulfaechersystematik/n71,.mp3,Digital Humanities * Podcast * Theorie * Wissenschaftstheorie,de,schema:PodcastSeries,audio,novice * advanced beginner * competent,2020-08-20,student (school) * student (BA) * student (MA) * student (PhD) * data steward * teacher (school) * teacher (higher education) * researcher * content provider,,,
b23137a5-553e-4919-84b3-2742b18fcc27,"Geiger, Jonathan : {https://orcid.org/0000-0002-0452-7075} * Kolodzie, Lisa : {https://orcid.org/0000-0003-3940-6908} * Schumacher, Mareike : {https://orcid.org/0000-0002-7952-4194} * Toschka, Patrik : {https://orcid.org/0000-0003-2470-4590}",CC-BY-SA-4.0,https://radihum20.de/graphentechnologien/,RaDiHum20 spricht mit der AG Graphentechnologien,Digital Humanities (S),"Für die heutige Folge haben wir uns vom Podcast RaDiHum20 mit Andreas Kuczera und Franziska Diehr von der AG Graphentechnologien des DHd unterhalten. Gesprächsthemen waren die AG selbst, ihre Gründung, Entwicklung und Ziele. Es ging aber auch um verschiedene Arten von Graphentechnologien, ihre Anwendung in den digitalen Geisteswissenschaften und vieles mehr. Moderation: Jonathan D. Geiger, Lisa Kolodzie, Patrick Toschka, Mareike Schumacher. Gäste: Andreas Kuczera, Franziska Diehr.",https://w3id.org/kim/hochschulfaechersystematik/n1 * https://w3id.org/kim/hochschulfaechersystematik/n71,.mp3,Digital Humanities * Podcast * Graph * Graphentechnologie,de,schema:PodcastSeries,audio,novice * advanced beginner * competent,2020-09-20,student (school) * student (BA) * student (MA) * student (PhD) * data steward * teacher (school) * teacher (higher education) * researcher * content provider,,,
19d1904f-9479-472e-a56b-023a02adb506,"Geiger, Jonathan : {https://orcid.org/0000-0002-0452-7075} * Kolodzie, Lisa : {https://orcid.org/0000-0003-3940-6908} * Schumacher, Mareike : {https://orcid.org/0000-0002-7952-4194} * Toschka, Patrik : {https://orcid.org/0000-0003-2470-4590}",CC-BY-SA-4.0,https://radihum20.de/ag-digitales-publizieren/,RaDiHum20 spricht mit der AG Digitales Publizieren,Digital Humanities (S),"In der heutigen Folge reden wir vom Podcast RaDiHum20 mit Timo Steyer von der DHd AG Digitales Publizieren über Formen, Möglichkeiten, Herausforderungen und Chancen digitaler Publikationen. Die Gründung und Entwicklung der AG selbst kommen dabei ebenso zur Sprache wie die Entwicklung der wissenschaftlichen Publikationspraxis, zukünftige Herausforderungen sowie Chancen und noch vieles weitere mehr. Moderation: Jonathan D. Geiger, Lisa Kolodzie, Mareike Schumacher. Gäste: Timo Steyer.",https://w3id.org/kim/hochschulfaechersystematik/n1 * https://w3id.org/kim/hochschulfaechersystematik/n71,.mp3,Digital Humanities * Podcast * Publikation * Open Access * Digitalisierung,de,schema:PodcastSeries,audio,novice * advanced beginner * competent,2020-10-20,student (school) * student (BA) * student (MA) * student (PhD) * data steward * teacher (school) * teacher (higher education) * researcher * content provider,,,
1f726a11-eb5d-47f5-b407-5f85e3693c76,"Geiger, Jonathan : {https://orcid.org/0000-0002-0452-7075} * Kolodzie, Lisa : {https://orcid.org/0000-0003-3940-6908} * Schumacher, Mareike : {https://orcid.org/0000-0002-7952-4194} * Toschka, Patrik : {https://orcid.org/0000-0003-2470-4590}",CC-BY-SA-4.0,https://radihum20.de/research-software-engineering/,RaDiHum20 spricht mit der AG Research Software Engineering,Digital Humanities (S),"Wir vom Podcast RaDiHum20 haben uns mit Alexander Czmiel und Stephan Druskat von der AG Research Software Engineering des Verbandes für Digital Humanities im deutschsprachigen Raum (DHd) unterhalten, um euch in einer neuen RaDiHum20-Folge Einblicke in ihre Arbeit zu geben. Natürlich ging es um die AG, ihre Gründung, Tätigkeiten und Pläne. Wir haben aber auch ganz allgemein über Research Software Engineering gesprochen und darüber, dass Software in der Forschung allgegenwärtig ist. Moderation: Jonathan D. Geiger, Lisa Kolodzie, Patrick Toschka, Mareike Schumacher. Gäste: Alexander Czmiel, Stephan Druskat.",https://w3id.org/kim/hochschulfaechersystematik/n1 * https://w3id.org/kim/hochschulfaechersystematik/n71,.mp3,Digital Humanities * Podcast * Software Engineering * Pogrammieren * Code,de,schema:PodcastSeries,audio,novice * advanced beginner * competent,2020-11-20,student (school) * student (BA) * student (MA) * student (PhD) * data steward * teacher (school) * teacher (higher education) * researcher * content provider,,,
82c3b889-4ac9-4a0e-98d1-27b221f48bc4,"Geiger, Jonathan : {https://orcid.org/0000-0002-0452-7075} * Kolodzie, Lisa : {https://orcid.org/0000-0003-3940-6908} * Schumacher, Mareike : {https://orcid.org/0000-0002-7952-4194} * Toschka, Patrik : {https://orcid.org/0000-0003-2470-4590}",CC-BY-SA-4.0,https://radihum20.de/ag-datenzentren/,RaDiHum20 spricht mit der AG Datenzentren,Digital Humanities (S),"Für die heutige Folge konnten wir vom Podcast RaDiHum20 die Convenor der DHd AG Datenzentren Katrin Moeller und Ulrike Wuttke gewinnen. Das Interview drehte sich um die Entwicklung und Aufgabenbereiche der AG und um das Thema Forschungsdaten und -management, Langzeitarchivierung, Kompetenzvermittlung und noch vieles mehr. Moderation: Jonathan D. Geiger, Lisa Kolodzie, Patrick Toschka, Mareike Schumacher. Gäste: Katrin Moeller, Ulrike Wuttke.",https://w3id.org/kim/hochschulfaechersystematik/n1 * https://w3id.org/kim/hochschulfaechersystematik/n71,.mp3,Digital Humanities * Podcast * Daten * Datenzentrum * Forschungsdatenmanagement * Forschungsdaten,de,schema:PodcastSeries,audio,novice * advanced beginner * competent,2021-01-20,student (school) * student (BA) * student (MA) * student (PhD) * data steward * teacher (school) * teacher (higher education) * researcher * content provider,,,
93d43f45-0c9f-4a73-bc6d-2b83139afdd5,"Geiger, Jonathan : {https://orcid.org/0000-0002-0452-7075} * Kolodzie, Lisa : {https://orcid.org/0000-0003-3940-6908} * Schumacher, Mareike : {https://orcid.org/0000-0002-7952-4194} * Toschka, Patrik : {https://orcid.org/0000-0003-2470-4590}",CC-BY-SA-4.0,https://radihum20.de/ag-zeitungen-und-zeitschriften/,RaDiHum20 spricht mit der AG Zeitungen und Zeitschriften,Digital Humanities (S),"In unserer Februar-Folge haben wir vom Podcast RaDiHum20 für euch die beiden Convenor der AG Zeitungen und Zeitschriften im DHd Nanette Rißler-Pipka und Torsten Roeder interviewt. Moderation: Jonathan D. Geiger, Lisa Kolodzie, Patrick Toschka, Mareike Schumacher. Gäste: Nanette Rißler-Pipka, Torsten Roeder.",https://w3id.org/kim/hochschulfaechersystematik/n1 * https://w3id.org/kim/hochschulfaechersystematik/n71,.mp3,Digital Humanities * Podcast * Zeitung * Zeitschrift * Edition,de,schema:PodcastSeries,audio,novice * advanced beginner * competent,2021-02-20,student (school) * student (BA) * student (MA) * student (PhD) * data steward * teacher (school) * teacher (higher education) * researcher * content provider,,,
3dba13fc-5e3d-4732-a784-6104796398d0,"Geiger, Jonathan : {https://orcid.org/0000-0002-0452-7075} * Kolodzie, Lisa : {https://orcid.org/0000-0003-3940-6908} * Schumacher, Mareike : {https://orcid.org/0000-0002-7952-4194} * Toschka, Patrik : {https://orcid.org/0000-0003-2470-4590}",CC-BY-SA-4.0,https://radihum20.de/peter-gietz/,RaDiHum20 spricht mit Peter Gietz,Digital Humanities (S),"Wir schreiben das Jahr 2021: Es ist das erste Jahr in der DHd-Zeitgeschichte, in der keine Konferenz in Präsenz stattfinden. Über dieses und viele weitere Themen sprechen wir vom Podcast RaDiHum20 in unserer aktuellen Folge mit einem ganz besonderen Gast: Peter Gietz. Er ist eines der Gründungsmitglieder des DHd-Verbands und hat in den letzten Jahren die deutschsprachige DH-Landschaft maßgeblich mitgestaltet. Neben seiner langjährigen Tätigkeit als Schatzmeister des DHd ist Peter zudem auch Geschäftsführer in seinem Unternehmen DAASI International, das sich seit seiner Gründung immer im forschungsnahen Bereich bewegt hat. Moderation: Jonathan D. Geiger, Lisa Kolodzie, Patrick Toschka, Mareike Schumacher. Gäste: Peter Gietz.",https://w3id.org/kim/hochschulfaechersystematik/n1 * https://w3id.org/kim/hochschulfaechersystematik/n71,.mp3,Digital Humanities * Podcast * Geschichte,de,schema:PodcastSeries,audio,novice * advanced beginner * competent,2021-04-20,student (school) * student (BA) * student (MA) * student (PhD) * data steward * teacher (school) * teacher (higher education) * researcher * content provider,,,
a9af5fce-ab9e-41fa-8d6f-027f4ddd98e5,"Geiger, Jonathan : {https://orcid.org/0000-0002-0452-7075} * Kolodzie, Lisa : {https://orcid.org/0000-0003-3940-6908} * Schumacher, Mareike : {https://orcid.org/0000-0002-7952-4194} * Toschka, Patrik : {https://orcid.org/0000-0003-2470-4590}",CC-BY-SA-4.0,https://radihum20.de/ag-film-und-video/,RaDiHum20 spricht mit der AG Film und Video,Digital Humanities (S),"Gernot Howanitz ist Convenor der DHd AG Film und Video und berichtet uns im Interview mit dem Podcast RaDiHum20 von der Gründung und Entwicklung der AG, den Methoden und Herausforderungen der digitalen Filmwissenschaft und von der Komplexität des Mediums, die es nicht nur erlaubt, sondern auch notwendig werden lässt, dass sich so viele wie möglich beteiligen. Moderation: Jonathan D. Geiger, Lisa Kolodzie, Patrick Toschka, Mareike Schumacher. Gäste: Gernot Howanitz.",https://w3id.org/kim/hochschulfaechersystematik/n1 * https://w3id.org/kim/hochschulfaechersystematik/n71,.mp3,Digital Humanities * Podcast * Film * Filmwissenschaft * Video * Medien,de,schema:PodcastSeries,audio,novice * advanced beginner * competent,2021-05-20,student (school) * student (BA) * student (MA) * student (PhD) * data steward * teacher (school) * teacher (higher education) * researcher * content provider,,,
92505c24-b4d1-45b3-9f7e-bae5825242c6,"Geiger, Jonathan : {https://orcid.org/0000-0002-0452-7075} * Kolodzie, Lisa : {https://orcid.org/0000-0003-3940-6908} * Schumacher, Mareike : {https://orcid.org/0000-0002-7952-4194} * Toschka, Patrik : {https://orcid.org/0000-0003-2470-4590}",CC-BY-SA-4.0,https://radihum20.de/ocr/,RaDiHum20 spricht mit der AG OCR,Digital Humanities (S),"RaDiHum20 hat mit den beiden Convenorn der DHd AG OCR, also Optical Character Recognition, Elisabeth Engl und Christian Reul gesprochen. Es ging um die AG, ihre Gründung und Entwicklung, die Technologie der optischen Zeichenerkennung und ihrer Relevanz für die Digital Humanities, sowie um die AG Eventserie auf der vDHd2021. Moderation: Jonathan D. Geiger, Lisa Kolodzie, Patrick Toschka, Mareike Schumacher. Gäste: Elisabeth Engl, Christian Reul.",https://w3id.org/kim/hochschulfaechersystematik/n1 * https://w3id.org/kim/hochschulfaechersystematik/n71,.mp3,Digital Humanities * Podcast * Optical Character Recognition * OCR * Digitalisierung,de,schema:PodcastSeries,audio,novice * advanced beginner * competent,2021-09-20,student (school) * student (BA) * student (MA) * student (PhD) * data steward * teacher (school) * teacher (higher education) * researcher * content provider,,,
e07ec7ad-9433-4084-b593-5053343329a4,"Geiger, Jonathan : {https://orcid.org/0000-0002-0452-7075} * Kolodzie, Lisa : {https://orcid.org/0000-0003-3940-6908} * Schmitz, Jascha : {https://orcid.org/0000-0002-6971-6758} * Schumacher, Mareike : {https://orcid.org/0000-0002-7952-4194}",CC-BY-SA-4.0,https://radihum20.de/jascha-spricht-mit-stefan-hoeltgen-von-der-ag-spiele-ueber-die-dhd2023/,Jascha von RaDiHum20 spricht mit Stefan Höltgen von der AG Spiele über die DHd2023,Digital Humanities (S),"Computerspiele sind für die Digital Humanities ein interessanter und herausfordernder Forschungsgegenstand. Seit Kurzem können sich Forschende darüber auch in einer DHd-AG austauschen. Mit deren Convenor hat Jascha vom Podcast RaDiHum20 im Rahmen unserer DHd2023 Konferenzstaffel gesprochen. Dabei geht es hauptsächlich darum, an welche Grenzen die Forschung zu Computerspielen stoßen kann, denn Offenheit hat hier ganz besondere Dimensionen. Technischer Wandel unterwirft Formate einem raschen Wandel und ältere Spiele sind zum Teil schwer in neue Systeme übertragbar. Der Zugriff auf zeitgenössische Spiele ist hingegen oft durch Urheber- und Nutzungsrechte eingeschränkt. Die DHd AG Spiele ist zwar noch neu und befindet sich in einer Findungsphase, die erste Veröffentlichung steht aber schon bald bevor. Welche Besonderheit diese aufweisen wird und inwiefern diese die (mangelnde) Offenheit symbolisiert, erfahrt ihr in dieser Folge. Moderation: Jascha Schmitz. Gäste: Stefan Höltgen.",https://w3id.org/kim/hochschulfaechersystematik/n1 * https://w3id.org/kim/hochschulfaechersystematik/n71,.mp3,Digital Humanities * Podcast * Spiel * Game * Computerspiel,de,schema:PodcastSeries,audio,novice * advanced beginner * competent,2023-03-06,student (school) * student (BA) * student (MA) * student (PhD) * data steward * teacher (school) * teacher (higher education) * researcher * content provider,,,
