DALIA_ID,Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
ed7e600c-56f3-463f-b969-320031451e83,FAIRmat : {organization https://www.wikidata.org/wiki/Q108542373},CC-BY-4.0,https://www.fairmat-nfdi.eu/uploads/Area%20F/FAIRmat_Legal_Guide_v1.1_interactive_PDF.pdf,FAIRmat Guide to Legal Aspects in Research Data Management,FAIRmat (SR),"This guide provides an overview of the key legal considerations relevant to the various stages of the data lifecycle. It is specifically designed for graduate students, postdoctoral researchers, and principal investigators who wish to understand and navigate the legal aspects of research data management in their research projects.",,.pdf,,en,,text,,2024-03-22,student (PhD) * researcher * data steward,,4,1.1
5052c6c0-0810-46b4-a342-c285b3a2070c,ElixirEurope,CC-BY-SA-4.0,https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/chapters/00_preface/,FAIR training handbook : Preface,ELIXIR FAIR training focus group (S),"The FAIR Training Handbook supports trainers to apply the 10 Simple Rules for Making Training Materials Findable, Accessible, Interoperable and Reusable (FAIR) (Figure 1) 1. It will explain why FAIR is important and how you can make it happen. Trainers can use the practical suggestions in the following chapters to create or improve their training resources.",,,,en,,text,,,teacher (school) * teacher (higher education) * content provider,isPartOf:https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/,,
93f96658-af4e-4c61-91b8-762405f2ae49,ElixirEurope,CC-BY-SA-4.0,https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/chapters/chapter_01/,1. Why FAIR training & training materials?,ELIXIR FAIR training focus group (S),"In this chapter we explain what the FAIR principles are, the importance of these principles and their increased adoption over the years, as well as the pros and cons of making training materials FAIR. We will give a brief history of FAIR data, and how these principles were extended and adapted to training materials. ",,,Fair * Open * Findability * Accessibillity * Interoperability * Reusability * Reproducibility * Training * Training materials * Types of training materials * Regulations,en,tutorial,text,,,teacher (school) * teacher (higher education) * content provider,isPartOf:https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/,,
eab06167-cb81-4f13-a087-1f9d47d48940,ElixirEurope,CC-BY-SA-4.0,https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/chapters/chapter_02/,2. Choose material types and formats that facilitate FAIRness,ELIXIR FAIR training focus group (S),"In this chapter, we discuss different types of training material formats and how they can facilitate or hinder their FAIRness. We also discuss the importance of annotating training material with the minimal necessary information and documenting as much as possible (e.g. by providing instructor notes and/or a lesson plan) for stand-alone re-usability. ",,,Interoperability * File format * Reusability * Annotation * Documentation,en,tutorial,text,,,teacher (school) * teacher (higher education) * content provider,isPartOf:https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/,,
69ea00ec-dc34-45cf-bb6f-c16fe2a97b54,ElixirEurope,CC-BY-SA-4.0,https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/chapters/chapter_03/,3. Get ready to create your materials or reuse,ELIXIR FAIR training focus group (S),"Here, we will describe a few platforms that can be used to host and share your materials in all four phases of their life cycle (development, delivery, sharing, and archiving), thus ensuring a higher degree of FAIRness. The platforms we will discuss are: Google Suite, GitHub and GitLab, Zenodo, Learning Management systems. We chose them as they are free, they include different features, and they are very commonly used in training. We will see which platforms are better to use in each phase of materials life cycle and why and what are the pros and cons of each platform according to FAIR principles.",,,Archiving * Collaborative development * Content management * Repository * Training Development platform * Version control * technological platform,en,tutorial,text,,,teacher (school) * teacher (higher education) * content provider,isPartOf:https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/,,
8c355aeb-ffbb-411a-897c-41cf37f0c29c,ElixirEurope,CC-BY-SA-4.0,https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/chapters/chapter_04/,4. Use metadata to describe training materials,ELIXIR FAIR training focus group (S),"Metadata can be defined as data used to describe other data. That other data is complete on its own even without the metadata; however, the metadata makes it easier, for instance, to quickly grasp what that other data is about and to establish some common parameters that can be used to find and compare similar data, even if you have no access to that other data. This chapter will focus on explaining how to annotate training materials and events with rich metadata to improve their Findability, Interoperability, and Reusability.",,,Metadata * Controlled vocabularies * Annotation * Bioschemas * Findability * Reusability,en,tutorial,text,,,teacher (school) * teacher (higher education) * content provider,isPartOf:https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/,,
851da201-09d8-4bab-98fb-21609e1c1cd5,ElixirEurope,CC-BY-SA-4.0,https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/chapters/chapter_05/,5. Get a persistent identifier for your training material,ELIXIR FAIR training focus group (S),"In this chapter, we present what a persistent identifier (PID) is, and how to get one for your training materials. This step is essential to achieving FAIR training materials, as it is directly linked to Findability and Reuse. By getting a PID, the visibility of your work is enhanced, and the associated deposit works as a backup of your work by handing over the maintenance to the designated repository.",,,Unique identifier * ID * DOI * ORCID * PMID * Persistent identifier * Findability * Reusability,en,tutorial,text,,,teacher (school) * teacher (higher education) * content provider,isPartOf:https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/,,
4827e217-1eda-44e3-83e5-0b7f6c35e156,ElixirEurope,CC-BY-SA-4.0,https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/chapters/chapter_06/,6. Make it accessible,ELIXIR FAIR training focus group (S),"This chapter explains how to make your training materials accessible, decide on the appropriate access rules, implement authentication and authorization to eventually limit the access, as well as the pros and cons of using repositories to share your training materials. We will provide guidelines for choosing a repository and making your materials accessible to as many people as possible (inclusive).",,,Accessibility * Accession rules * Authentification * Authorization * Inclusiveness,en,tutorial,text,,,teacher (school) * teacher (higher education) * content provider,isPartOf:https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/,,
a5c5ed76-b7f0-4857-bfe7-709a3002593e,ElixirEurope,CC-BY-SA-4.0,https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/chapters/chapter_07/,7. Make it reusable,ELIXIR FAIR training focus group (S),"In this chapter, we explore the type of information required for people to decide if and how they can reuse training materials they are otherwise unfamiliar with. This information is an important part of the metadata and should be included alongside the materials. We consider existing metadata recommendations for training materials and different ways of representing this information in a detailed but logical and useful format.In this chapter training materials can be either an individual training material (e.g. a dataset, slides) or a collection of materials associated with a particular training session.",,,Metadata * Contextual information * Reusability * Learning outcomes,en,tutorial,text,,,teacher (school) * teacher (higher education) * content provider,isPartOf:https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/,,
0d517c72-d548-4ab3-8d18-855674b15158,ElixirEurope,CC-BY-SA-4.0,https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/chapters/chapter_08/,8. Provide a license,ELIXIR FAIR training focus group (S),This chapter will explain how you can encourage use and reuse of training materials through choosing appropriate licences. It will cover the different licence options available to date and consider the implications for users. It will also explain the practicalities of implementing your chosen licences and give an awareness of common issues to consider. ,,,Licensing * Reusability * Accessibility,en,tutorial,text,,,teacher (school) * teacher (higher education) * content provider,isPartOf:https://elixir-europe-training.github.io/ELIXIR-TrP-FAIR-training-handbook/,,
